2035, 27, 12, 200, 71, 250, 13, 6, 107, 195, 161, 10, 8, 93, 254, 232, 15, 10, 236, 92, 199, 29, 2, 105, 247, 153,Success bird 0
983, 16, 22, 93, 252, 248, 4, 8, 10, 28, 56, 16, 14, 225, 17, 2, 12, 13, 181, 214, 246, 10, 9, 224, 5, 91,Success dog 86
8847, 8, 17, 188, 16, 194, 9, 5, 219, 94, 34, 1, 12, 207, 108, 154, 1, 29, 194, 72, 245, 30, 27, 143, 58, 113,Success deer 0
1759, 11, 1, 0, 212, 225, 10, 14, 228, 39, 119, 19, 9, 240, 121, 109, 17, 11, 151, 5, 115, 17, 8, 71, 121, 192,Success cat 0
4162, 31, 9, 194, 140, 108, 19, 12, 157, 13, 12, 16, 13, 247, 114, 126, 13, 26, 209, 172, 43, 15, 25, 239, 103, 226,Success ship 0
6622, 2, 21, 115, 194, 17, 10, 7, 176, 11, 18, 20, 20, 183, 96, 117, 10, 8, 225, 127, 250, 8, 8, 38, 125, 196,Success dog 20
3752, 2, 29, 16, 201, 106, 12, 14, 61, 132, 145, 14, 30, 127, 139, 9, 7, 5, 37, 240, 84, 0, 20, 252, 247, 68,Success dog 0
6502, 4, 0, 85, 35, 192, 23, 13, 252, 135, 21, 19, 2, 237, 197, 141, 14, 17, 12, 49, 248, 14, 7, 14, 0, 247,Success dog 0
1625, 28, 14, 22, 235, 218, 18, 7, 92, 31, 209, 24, 10, 196, 17, 93, 19, 18, 215, 111, 192, 11, 19, 175, 62, 83,Success dog 11
6349, 24, 11, 206, 27, 109, 9, 30, 234, 147, 35, 15, 28, 204, 125, 90, 12, 25, 185, 217, 166, 26, 23, 23, 224, 32,Success bird 42
8249, 21, 12, 140, 151, 114, 8, 12, 22, 67, 224, 24, 12, 254, 13, 170, 10, 23, 30, 220, 171, 20, 20, 232, 190, 92,Success airplane 20
6252, 31, 18, 185, 245, 119, 11, 19, 22, 36, 39, 6, 31, 62, 108, 122, 1, 29, 191, 87, 88, 21, 5, 22, 59, 25,Success frog 0
845,Success Mispredict
636, 23, 19, 74, 106, 212, 17, 11, 115, 55, 253, 20, 18, 20, 196, 169, 22, 12, 128, 224, 249, 15, 22, 199, 28, 232,Success automobile 2
8048, 10, 15, 14, 251, 229, 28, 16, 255, 131, 39, 17, 24, 185, 50, 199, 30, 5, 206, 23, 126, 28, 3, 29, 250, 207,Success bird 0
2786, 20, 18, 206, 196, 213, 17, 25, 3, 254, 4, 14, 22, 255, 136, 39, 13, 18, 34, 12, 6, 15, 13, 9, 250, 8,Fail deer
1591, 6, 8, 14, 12, 138, 4, 6, 0, 32, 171, 13, 16, 4, 0, 149, 29, 19, 253, 6, 0, 11, 16, 1, 12, 141,Fail automobile
7646, 2, 6, 101, 160, 184, 18, 7, 29, 107, 196, 8, 7, 3, 96, 211, 16, 18, 16, 155, 245, 6, 18, 23, 16, 60,Success dog 39
7089, 18, 21, 79, 32, 94, 17, 6, 96, 119, 9, 16, 3, 237, 7, 1, 17, 14, 245, 8, 217, 19, 8, 252, 1, 64,Fail horse
823, 28, 22, 239, 162, 121, 21, 18, 244, 127, 133, 25, 11, 238, 38, 99, 27, 3, 250, 234, 74, 28, 12, 145, 165, 193,Success automobile 93
9574, 10, 24, 252, 22, 51, 15, 22, 68, 176, 209, 18, 23, 137, 7, 100, 15, 24, 253, 32, 48, 22, 17, 224, 22, 179,Fail deer
2983, 11, 20, 114, 216, 18, 11, 19, 136, 249, 50, 14, 29, 228, 112, 10, 19, 21, 102, 226, 76, 22, 15, 245, 138, 78,Success frog 40
2833, 19, 16, 133, 210, 159, 10, 23, 129, 194, 67, 24, 14, 207, 212, 62, 28, 13, 20, 147, 171, 20, 14, 160, 1, 116,Fail airplane
1880, 24, 18, 94, 79, 76, 25, 10, 29, 35, 88, 27, 15, 0, 255, 217, 27, 23, 6, 242, 18, 28, 12, 215, 196, 202,Fail automobile
8240, 13, 23, 167, 239, 201, 10, 13, 117, 237, 42, 5, 14, 211, 16, 138, 8, 10, 11, 243, 190, 8, 4, 148, 214, 181,Success deer 44
2002, 31, 16, 187, 76, 163, 4, 11, 177, 7, 72, 30, 19, 147, 173, 54, 15, 13, 172, 76, 140, 25, 8, 177, 163, 175,Success bird 0
9411, 11, 13, 66, 250, 84, 7, 10, 26, 208, 190, 7, 9, 124, 41, 49, 3, 16, 177, 29, 139, 6, 14, 27, 82, 220,Success deer 25
1918, 14, 14, 7, 13, 91, 21, 19, 1, 6, 157, 7, 22, 86, 169, 217, 14, 15, 131, 86, 153, 16, 16, 7, 7, 167,Success deer 44
1600, 15, 13, 12, 12, 170, 14, 23, 12, 237, 12, 19, 17, 156, 102, 211, 20, 18, 120, 112, 252, 1, 9, 7, 172, 239,Success truck 1
1452, 17, 8, 130, 231, 208, 17, 18, 0, 16, 149, 17, 17, 29, 37, 50, 9, 15, 25, 16, 191, 16, 10, 170, 34, 7,Success cat 80
8034, 28, 18, 90, 4, 42, 7, 18, 244, 71, 216, 25, 17, 191, 81, 26, 3, 4, 1, 0, 117, 4, 5, 128, 9, 30,Fail truck
4692, 13, 16, 2, 4, 202, 16, 10, 4, 169, 199, 27, 18, 231, 59, 252, 26, 11, 181, 130, 220, 24, 26, 226, 125, 128,Success airplane 7
7975, 17, 18, 238, 110, 103, 18, 18, 226, 168, 121, 17, 8, 226, 75, 219, 26, 4, 170, 252, 110, 14, 10, 94, 115, 12,Fail bird
