9466, 26, 17, 0, 0, 0,Fail ship
6347, 9, 21, 255, 181, 99,Fail airplane
2182, 18, 10, 136, 0, 0,Fail deer
1473, 1, 23, 136, 62, 155,Fail horse
338, 13, 14, 255, 255, 231,Fail airplane
9834, 27, 11, 255, 211, 113,Fail ship
1187, 20, 9, 81, 255, 250,Fail automobile
9071, 14, 8, 0, 0, 0,Fail horse
3181,Success Mispredict
8335, 14, 23, 148, 7, 39,Success deer 0
6010, 29, 7, 255, 70, 0,Fail automobile
5564, 23, 13, 255, 0, 0,Fail frog
2233, 15, 4, 83, 127, 87,Success horse 0
9911, 14, 21, 15, 7, 2,Success dog 3
7832, 11, 6, 1, 0, 0,Fail ship
9255, 20, 12, 0, 0, 80,Fail cat
8866, 20, 14, 85, 143, 13,Fail automobile
5313, 19, 21, 0, 255, 244,Fail cat
3994, 24, 7, 113, 76, 68,Fail ship
6801, 13, 18, 7, 242, 231,Fail frog
7540, 15, 14, 58, 161, 0,Fail dog
6021, 20, 25, 9, 9, 100,Success dog 2
6475, 9, 13, 22, 0, 206,Fail bird
5993, 23, 5, 14, 255, 255,Fail ship
3515, 27, 17, 1, 255, 255,Fail ship
7897, 20, 8, 0, 0, 0,Fail bird
3232, 27, 25, 183, 105, 255,Fail horse
5076, 25, 18, 0, 0, 193,Fail dog
3131, 30, 18, 15, 217, 177,Success dog 0
407, 11, 27, 128, 141, 255,Fail automobile
771, 21, 17, 104, 201, 8,Success truck 0
7501, 26, 8, 6, 96, 169,Fail truck
5182, 5, 12, 0, 0, 0,Fail automobile
7525, 23, 9, 239, 255, 246,Fail ship
5392, 27, 7, 132, 255, 223,Fail airplane
5811, 18, 8, 139, 0, 0,Fail horse
1230, 18, 11, 116, 213, 130,Success cat 0
4164, 20, 7, 150, 0, 112,Fail automobile
8201, 9, 15, 50, 6, 0,Fail cat
5546, 9, 9, 2, 95, 0,Fail horse
7580, 26, 17, 255, 255, 36,Fail ship
9903, 11, 21, 0, 255, 255,Fail frog
2624, 16, 30, 177, 69, 239,Success horse 0
7749, 6, 12, 247, 0, 0,Fail automobile
4003, 9, 11, 41, 253, 191,Success airplane 0
6708, 20, 20, 0, 0, 63,Fail bird
8293, 4, 6, 0, 29, 75,Fail airplane
2363, 23, 15, 98, 188, 12,Success frog 0
2168, 8, 16, 115, 255, 0,Fail dog
2039, 25, 17, 255, 255, 67,Fail ship
9377, 14, 17, 0, 255, 255,Fail deer
2952, 4, 14, 39, 18, 51,Success dog 0
253, 10, 14, 230, 246, 234,Success ship 0
6455, 24, 20, 0, 255, 255,Fail frog
1128, 15, 20, 49, 65, 178,Success dog 0
1140, 11, 17, 0, 149, 255,Fail frog
703, 23, 13, 28, 251, 232,Success automobile 1
6107, 19, 9, 170, 0, 0,Fail truck
3791, 4, 22, 20, 19, 94,Success dog 2
4264, 14, 5, 183, 99, 192,Success cat 0
2946, 15, 15, 255, 255, 255,Fail truck
9612, 14, 24, 13, 19, 72,Success airplane 2
5728, 14, 14, 138, 0, 1,Fail horse
6018, 6, 9, 0, 31, 248,Fail dog
6767, 14, 17, 165, 255, 50,Fail automobile
1943, 25, 14, 255, 211, 255,Fail ship
924,Success Mispredict
9697, 16, 15, 194, 130, 215,Success airplane 0
873, 8, 9, 98, 87, 26,Fail bird
301, 13, 8, 0, 255, 255,Fail frog
2095, 6, 24, 245, 11, 0,Fail airplane
8295,Success Mispredict
4772, 15, 18, 0, 57, 255,Fail frog
5146, 11, 13, 255, 255, 240,Fail airplane
4385, 14, 8, 0, 0, 255,Fail ship
2946, 15, 15, 255, 255, 255,Fail truck
215, 18, 18, 248, 0, 0,Fail airplane
4284, 6, 28, 3, 4, 0,Fail truck
283, 22, 15, 255, 0, 167,Fail automobile
3844, 16, 25, 3, 21, 125,Success deer 1
9880, 24, 4, 145, 6, 6,Success ship 2
6129, 8, 26, 205, 0, 0,Fail deer
7160, 16, 10, 255, 0, 238,Fail dog
2291, 22, 10, 111, 8, 20,Fail dog
8229, 20, 14, 54, 252, 159,Success automobile 0
9441, 28, 22, 186, 88, 195,Success bird 0
6716, 21, 13, 19, 255, 207,Fail ship
45, 28, 22, 38, 67, 145,Fail truck
8099, 10, 20, 0, 143, 0,Fail cat
4078, 17, 25, 202, 249, 94,Fail dog
5559, 7, 16, 245, 60, 104,Success bird 0
5552, 13, 13, 96, 193, 17,Success cat 0
724, 27, 19, 41, 36, 73,Success airplane 0
2224, 20, 22, 195, 218, 0,Fail automobile
8672, 9, 17, 6, 163, 205,Success deer 1
232,Success Mispredict
593, 13, 9, 0, 243, 255,Fail frog
6059, 26, 25, 187, 0, 0,Fail truck
7723, 14, 21, 227, 46, 164,Success frog 0
4225, 6, 23, 0, 255, 0,Fail dog
9764,Success Mispredict
6675, 16, 21, 255, 255, 255,Fail bird
7743, 17, 20, 107, 55, 170,Fail cat
5648, 17, 8, 255, 255, 255,Fail ship
7831, 8, 12, 0, 0, 7,Fail bird
743, 0, 15, 133, 56, 6,Fail horse
5247, 5, 16, 218, 12, 38,Success deer 6
9469, 25, 29, 28, 255, 255,Fail airplane
3333, 8, 21, 255, 186, 255,Fail bird
1562, 21, 23, 241, 224, 255,Fail frog
2400, 6, 18, 255, 0, 0,Fail airplane
7976, 16, 23, 179, 153, 231,Success deer 0
8826, 24, 15, 255, 213, 0,Fail ship
5065, 8, 20, 177, 18, 12,Success ship 3
1059, 8, 8, 0, 0, 0,Fail ship
6976, 10, 19, 30, 182, 90,Success airplane 0
8080, 17, 18, 79, 77, 116,Success frog 0
6326, 23, 18, 3, 0, 250,Success airplane 0
815, 23, 15, 227, 25, 142,Fail ship
